"","title","authors.list","year","pub.date","doi"
"47","Student misbehaviour and school climate: A multilevel study; La conducta disruptiva y el clima escolar: Un estudio multinivel","AGUADO;ARIAS;AZ;BABARRO;CHAC;D;FERN;MART;MART;MART;N;N;NDEZ;NEZ;NEZ",2021,NA,"10.5093/PSED2020A10"
"48","Supporting students’ engagement with teachers’ feedback: the role of students’ school identification","ANT;CARVALHO;MARTINS;NIO;SANTOS",2021,NA,"10.1080/01443410.2020.1849564"
"49","Authoritative school climate and out-of-school suspensions: Results from a nationally-representative survey of 10th grade students","COHEN;COOMBS;HUANG;OLSEN",2021,NA,"10.1080/1045988X.2020.1843129"
"50","Do Social Bonds Matter? Social Control Theory and Its Relationship to Desistance From Substance Abuse in China","BOATENG;CUI;LIU;SHUAI;WU",2021,NA,"10.1177/0022042620957020"
"51","When Gender Stereotypes Get Male Adolescents into Trouble: A Longitudinal Study on Gender Conformity Pressure as a Predictor of School Misconduct","HEK;HEYDER;HOUTTE;VAN;VAN",2021,NA,"10.1007/s11199-020-01147-9"
"52","Uncovering the: Hidden costs of coastal hazards","BAISH;DAVID;MORROW",1999,NA,"10.1080/00139159909604784"
"53","Australian disaster triage: A colour maze in the Tower of Babel","GARNER;NOCERA",1999,NA,"10.1046/j.1440-1622.1999.01643.x"
"54","Interventions for acute trauma response","SOLOMON",1999,NA,"10.1097/00001504-199903000-00006"
"55","On abandoning life when it is least difficult","GRANBERG;WESTERBERG",1999,NA,"10.1080/19485565.1999.9988993"
"56","Public perceptions of agricultural biotechnology and pesticides: Recent understandings and implications for risk communication","PETERSON",2000,NA,"10.1093/ae/46.1.8"
"57","Consumer concerns about industrialized agriculture and food safety: Importance, origin and possible solutions","BONNY",2000,NA,"10.1051/animres:2000121"
"58","Regulation of Genetically Modified Organisms in the European Union","ENDRES;GROSSMAN",2000,NA,"10.1177/00027640021956260"
"59","Seeds of Discontent: Expert Opinion, Mass Media Messages, and the Public Image of Agricultural Biotechnology","GILLESPIE;PRIEST",2000,NA,"10.1007/s11948-000-0012-4"
"60","Genetically modified crops and the environment","BARTON;DRACUP",2000,NA,"10.2134/agronj2000.924797x"
"61","Ethical Dilemmas when Diagnosing Hypertension","DIAZ;LOPEZ;MONTERO;SANTANA",2012,NA,NA
"62","PUBLIC AND PRIVATE EDUCATION IN AMERICA: Examining the Facts","COBB;GLASS",2021,NA,NA
"63","Evaluación de los efectos sanitarios a medio y largo plazo del terremoto de Hanshin Awaji de Kobe, Japón","A;MART;MOLINA;MU;NEZ;OCA;OZ",1999,NA,NA
"64","Agricultural Biotechnology and Societal Decision-making: The Role of Risk Analysis","PETERSON;WOLT",2000,NA,NA
"65","Consumers, agriculture, food quality and food safety: An analysis of consumer questions and of the answers put forward; Les consommateurs, l'agriculture, la qualité et la sécurité des aliments: Une analyse du questionnement des consommateurs et des réponses apportées","BONNY",2000,NA,NA
"66","Labeling of rDNA Biotechnology-Derived Foods the Institute of Food",NA,2000,NA,NA
"67","Europe the spoil-sport: On the Europeans' reluctance towards genetically modified food","E;JELS;LASSEN;NIELSEN;RUSANEN;TORGERSEN",2000,NA,NA
